unit_id,mutation_id,cluster_id,tool,path,operation,a_rule,a_level,a_confidence,b_rule,b_level,b_confidence,final_rule,final_level,resolution,final_rationale,pattern_group
H011,TFMX03,STFM01,get_module_details,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false added. Safety hint clarifying non-destructive tool. | B: destructiveHint=false. Safety hint.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H012,TFMX04,STFM01,get_policy_details,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,"A: Adds destructiveHint=false. Explicit non-destructive hint; benign annotation maintenance, not a runtime change. | B: Adds destructiveHint=false. Client-visible safety annotation; no capability change.",PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H013,TFMX05,STFM01,get_provider_details,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false. Safety hint. | B: destructiveHint=false added. Benign safety hint.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H014,TFMX06,STFM01,list_terraform_orgs,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false. Benign safety annotation. | B: destructiveHint=false. Safety hint.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H015,TFMX07,STFM01,list_terraform_projects,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,destructiveHint=false. Safety hint.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H016,TFMX08,STFM01,search_modules,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false. Safety hint only. | B: destructiveHint=false. Safety hint.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H017,TFMX09,STFM01,search_policies,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false added. Benign safety annotation. | B: destructiveHint=false. Safety annotation only.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H018,TFMX10,STFM01,search_providers,/annotations/destructiveHint,ADD,R1,L1,4,R1,L1,4,R1,L1,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint=false. Safety hint. | B: destructiveHint=false. Safety annotation.,PATTERN_TFM_DESTRUCTIVE_HINT_ABSENT_TO_FALSE
H019,TFMX11,STFM02,create_run,/annotations/destructiveHint,REPLACE,R2b,L2,4,R2b,L2,5,R2b,L2,PRE_ADJUDICATION_AGREEMENT,A: destructiveHint true→false under the safe default config. Clear risk-decreasing annotation change. | B: destructiveHint flips true→false in the safe default variant. Explicitly risk-decreasing trust hint.,PATTERN_TFMX11_/annotations/destructiveHint
H020,TFMX11,STFM02,create_run,/inputSchema/properties/run_type/enum,REPLACE,R2b,L2,5,R2b,L2,5,R2b,L2,PRE_ADJUDICATION_AGREEMENT,A: auto_approve and is_destroy removed from advertised enum under safe config. Clear capability narrowing / risk decrease. | B: Enum drops auto_approve and is_destroy under safe default. Clear narrowing of advertised destructive options.,PATTERN_TFMX11_/inputSchema/properties/run_type/enum
H021,TFMX12,STFM03,get_private_module_details,/description,REPLACE,R3a,L3,4,R3a,L3,4,R3a,L3,PRE_ADJUDICATION_AGREEMENT,"A: Tool now described as also returning every submodule with its own inputs/outputs/resources/README. Material expansion of returned information scope. | B: Now states every submodule is reported with its own inputs, outputs, resources, README. Material expansion of information scope.",PATTERN_TFMX12_/description
H022,TFMX12,STFM03,get_private_module_details,/inputSchema/properties/private_module_id/description,REPLACE,R0,L0,5,R0,L0,5,R0,L0,PRE_ADJUDICATION_AGREEMENT,A: Only line-joining/display formatting changed; semantic content identical. R0. | B: Only display/line-joining differs; approval-relevant semantics unchanged. Canonical R0 case.,PATTERN_TFMX12_/inputSchema/properties/private_module_id/description
H023,PLWM01,SPLW01,browser_console_messages,/inputSchema/properties/filename/description,REPLACE,R1,L1,4,R2a,L2,4,R2a,L2,A+B consensus,"Discussed: A initially saw pure clarification, B saw resource-scope effect. Agreed the new resolution clause does change what the client is told about where files land, but only in a bounded ordinary way. No security-boundary expansion → R2a/L2.",PATTERN_PLW_FILENAME_PATH_GUIDANCE
H024,PLWM02,SPLW01,browser_evaluate,/inputSchema/properties/filename/description,REPLACE,R1,L1,4,R2a,L2,4,R2a,L2,A+B consensus,Same pattern as the other filename cases. After review we treated the workspace-root sentence as a bounded resource-scope update rather than R1-only maintenance. Consensus R2a/L2.,PATTERN_PLW_FILENAME_PATH_GUIDANCE
H025,PLWM03,SPLW01,browser_network_requests,/inputSchema/properties/filename/description,REPLACE,R1,L1,4,R2a,L2,4,R2a,L2,A+B consensus,"A favoured R1 (no material boundary shift); B favoured R2a (documented location semantics). Settled on R2a because the description now states a concrete resolution rule that was previously absent, while still remaining non-security.",PATTERN_PLW_FILENAME_PATH_GUIDANCE
H026,PLWM04,SPLW01,browser_network_request,/inputSchema/properties/filename/description,REPLACE,R1,L1,4,R2a,L2,4,R2a,L2,A+B consensus,Joint read: adding the relative-path resolution note is a small but real change to the client-visible contract about file placement. Fits R2a (bounded) better than R1. Level L2.,PATTERN_PLW_FILENAME_PATH_GUIDANCE
H027,PLWM05,SPLW01,browser_pdf_save,/inputSchema/properties/filename/description,REPLACE,R2a,L2,3,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,A: Relative resolution + default path explicit. Bounded clarification. | B: Relative resolution and default path made explicit. Bounded resource-scope change.,PATTERN_PLW_FILENAME_PATH_GUIDANCE
H028,PLWM06,SPLW01,browser_run_code_unsafe,/inputSchema/properties/filename/description,REPLACE,R1,L1,4,R2a,L2,4,R2a,L2,A+B consensus,Even on the unsafe code-loading tool the only change is the path-resolution sentence. We agreed it does not expand capability or risk; it only makes relative resolution explicit. R2a/L2 per codebook.,PATTERN_PLW_FILENAME_PATH_GUIDANCE
H029,PLWM07,SPLW01,browser_take_screenshot,/inputSchema/properties/filename/description,REPLACE,R2a,L2,3,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,"A: Path resolution made explicit and default location restated. Mild resource-scope wording change; still bounded, no approval-boundary expansion. | B: Relative resolution + default into output directory made explicit. Bounded path semantics.",PATTERN_PLW_FILENAME_PATH_GUIDANCE
H030,PLWM08,SPLW01,browser_snapshot,/inputSchema/properties/filename/description,REPLACE,R2a,L2,3,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,A: Relative path note + 'markdown file' softened to 'a file'. Mild format/path clarification; still bounded. | B: Relative resolution added and 'markdown file' generalised to 'a file'. Bounded path/format evolution.,PATTERN_PLW_FILENAME_PATH_GUIDANCE
H031,PLWM09,SPLW01,browser_storage_state,/inputSchema/properties/filename/description,REPLACE,R2a,L2,3,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,"A: Relative resolution and default output path made explicit. Bounded path-semantics clarification. | B: Makes relative resolution against workspace root explicit and restates default output location. Bounded resource-scope clarification, no security-boundary expansion.",PATTERN_PLW_FILENAME_PATH_GUIDANCE
H032,PLWM10,SPLW01,browser_set_storage_state,/inputSchema/properties/filename/description,REPLACE,R1,L1,4,R2a,L2,4,R2a,L2,A+B consensus,"Shortest original description, but the added clause is the same kind of bounded resource-scope clarification. Consensus with the rest of the cluster: R2a/L2.",PATTERN_PLW_FILENAME_PATH_GUIDANCE
H033,PLWM11,SPLW01,browser_start_video,/inputSchema/properties/filename/description,REPLACE,R2a,L2,3,R2a,L2,4,R2a,L2,PRE_ADJUDICATION_AGREEMENT,A: Relative resolution and default filename added. Bounded path clarification. | B: Relative resolution and default video path added. Bounded path-semantics clarification.,PATTERN_PLW_FILENAME_PATH_GUIDANCE
H034,PLWM12,SPLW02,browser_start_video,/inputSchema/properties/fps,ADD,R2a,L2,5,R2a,L2,5,R2a,L2,PRE_ADJUDICATION_AGREEMENT,A: Optional fps input added with default. Classic bounded optional schema addition (cf. CAL-03). | B: Optional fps parameter with default 25. Bounded functional/schema addition.,PATTERN_PLWM12_/inputSchema/properties/fps
